 initial abundance for selected isotopes
    1   0.00000E+00  NEUT 
    2   0.00000E+00  PROT 
    3   0.00000E+00  H   2
    4   0.00000E+00  HE  3
    5   0.00000E+00  HE  4
    6   0.00000E+00  BE  7
    7   0.00000E+00  B   8
    8   0.00000E+00  LI  7
    9   0.00000E+00  C  11
   10   0.00000E+00  B  11
   11   0.00000E+00  C  12
   12   0.00000E+00  C  13
   13   0.00000E+00  N  13
   14   0.00000E+00  N  14
   15   0.00000E+00  C  14
   16   0.00000E+00  N  15
   17   0.00000E+00  O  16
   18   0.00000E+00  O  17
   19   0.00000E+00  O  18
   20   0.00000E+00  F  17
   21   0.00000E+00  F  18
   22   0.00000E+00  F  19
   23   0.00000E+00  NE 20
   24   0.00000E+00  NE 21
   25   0.00000E+00  NE 22
   26   0.00000E+00  NA 22
   27   0.00000E+00  NA 23
   28   0.00000E+00  MG 23
   29   0.00000E+00  MG 24
   30   0.00000E+00  MG 25
   31   0.00000E+00  MG 26
   32   0.00000E+00  AL 26
   33   0.00000E+00  AL 27
   34   0.00000E+00  SI 27
   35   0.00000E+00  SI 28
   36   0.00000E+00  SI 29
   37   0.00000E+00  SI 30
   38   0.00000E+00  P  31
   39   0.00000E+00  S  31
   40   9.40000E-01  L   1
   41   5.00000E-02  G   1
   46   0.00000E+00  BE  8
   47   0.00000E+00  O  14
   48   0.00000E+00  O  15
   49   0.00000E+00  NA 21
   50   0.00000E+00  AL 25
   51   0.00000E+00  P  29
   52   0.00000E+00  P  30
   53   0.00000E+00  PB206
   54   0.00000E+00  PB207
   55   0.00000E+00  BI211
   56   0.00000E+00  PO210
   58   1.00000E-02  FE 56
   59   0.00000E+00  BI209
   60   0.00000E+00  H   3
   61   0.00000E+00  HE  6
   62   0.00000E+00  LI  8
   63   0.00000E+00  LI  9
   64   0.00000E+00  BE 10
   65   0.00000E+00  BE 11
   66   0.00000E+00  BE 12
   67   0.00000E+00  B  12
   68   0.00000E+00  B  13
   69   0.00000E+00  B  14
   70   0.00000E+00  C  15
   71   0.00000E+00  C  16
   72   0.00000E+00  C  17
   73   0.00000E+00  C  18
   74   0.00000E+00  N  11
   75   0.00000E+00  N  12
   76   0.00000E+00  N  16
   77   0.00000E+00  N  17
   78   0.00000E+00  N  18
   79   0.00000E+00  N  19
   80   0.00000E+00  N  20
   81   0.00000E+00  N  21
   82   0.00000E+00  O  13
   83   0.00000E+00  O  19
   84   0.00000E+00  O  20
   85   0.00000E+00  O  21
   86   0.00000E+00  O  22
   87   0.00000E+00  F  20
   88   0.00000E+00  F  21
   89   0.00000E+00  F  22
   90   0.00000E+00  F  23
   91   0.00000E+00  F  24
   92   0.00000E+00  F  25
   93   0.00000E+00  F  26
   94   0.00000E+00  NE 17
   95   0.00000E+00  NE 18
   96   0.00000E+00  NE 19
   97   0.00000E+00  NE 23
   98   0.00000E+00  NE 24
   99   0.00000E+00  NE 25
  100   0.00000E+00  NE 26
  101   0.00000E+00  NE 27
  102   0.00000E+00  NE 28
  103   0.00000E+00  NE 29
  104   0.00000E+00  NE 30
  105   0.00000E+00  NE 31
  106   0.00000E+00  NE 32
  107   0.00000E+00  NE 33
  108   0.00000E+00  NE 34
  109   0.00000E+00  NE 35
  110   0.00000E+00  NE 36
  111   0.00000E+00  NE 37
  112   0.00000E+00  NE 38
  113   0.00000E+00  NE 39
  114   0.00000E+00  NE 40
  115   0.00000E+00  NE 41
  116   0.00000E+00  NA 19
  117   0.00000E+00  NA 20
  118   0.00000E+00  NA 24
  119   0.00000E+00  NA 25
  120   0.00000E+00  NA 26
  121   0.00000E+00  NA 27
  122   0.00000E+00  NA 28
  123   0.00000E+00  NA 29
  124   0.00000E+00  NA 30
  125   0.00000E+00  NA 31
  126   0.00000E+00  NA 32
  127   0.00000E+00  NA 33
  128   0.00000E+00  NA 34
  129   0.00000E+00  NA 35
  130   0.00000E+00  NA 36
  131   0.00000E+00  NA 37
  132   0.00000E+00  NA 38
  133   0.00000E+00  NA 39
  134   0.00000E+00  NA 40
  135   0.00000E+00  NA 41
  136   0.00000E+00  NA 42
  137   0.00000E+00  NA 43
  138   0.00000E+00  NA 44
  139   0.00000E+00  MG 20
  140   0.00000E+00  MG 21
  141   0.00000E+00  MG 22
  142   0.00000E+00  MG 27
  143   0.00000E+00  MG 28
  144   0.00000E+00  MG 29
  145   0.00000E+00  MG 30
  146   0.00000E+00  MG 31
  147   0.00000E+00  MG 32
  148   0.00000E+00  MG 33
  149   0.00000E+00  MG 34
  150   0.00000E+00  MG 35
  151   0.00000E+00  MG 36
  152   0.00000E+00  MG 37
  153   0.00000E+00  MG 38
  154   0.00000E+00  MG 39
  155   0.00000E+00  MG 40
  156   0.00000E+00  MG 41
  157   0.00000E+00  MG 42
  158   0.00000E+00  MG 43
  159   0.00000E+00  MG 44
  160   0.00000E+00  MG 45
  161   0.00000E+00  MG 46
  162   0.00000E+00  MG 47
  163   0.00000E+00  AL 21
  164   0.00000E+00  AL 22
  165   0.00000E+00  AL 23
  166   0.00000E+00  AL 24
  167   0.00000E+00  AL 28
  168   0.00000E+00  AL 29
  169   0.00000E+00  AL 30
  170   0.00000E+00  AL 31
  171   0.00000E+00  AL 32
  172   0.00000E+00  AL 33
  173   0.00000E+00  AL 34
  174   0.00000E+00  AL 35
  175   0.00000E+00  AL 36
  176   0.00000E+00  AL 37
  177   0.00000E+00  AL 38
  178   0.00000E+00  AL 39
  179   0.00000E+00  AL 40
  180   0.00000E+00  AL 41
  181   0.00000E+00  AL 42
  182   0.00000E+00  AL 43
  183   0.00000E+00  AL 44
  184   0.00000E+00  AL 45
  185   0.00000E+00  AL 46
  186   0.00000E+00  AL 47
  187   0.00000E+00  AL 48
  188   0.00000E+00  AL 49
  189   0.00000E+00  AL 50
  190   0.00000E+00  AL 51
  191   0.00000E+00  SI 22
  192   0.00000E+00  SI 23
  193   0.00000E+00  SI 24
  194   0.00000E+00  SI 25
  195   0.00000E+00  SI 26
  196   0.00000E+00  SI 31
  197   0.00000E+00  SI 32
  198   0.00000E+00  SI 33
  199   0.00000E+00  SI 34
  200   0.00000E+00  SI 35
  201   0.00000E+00  SI 36
  202   0.00000E+00  SI 37
  203   0.00000E+00  SI 38
  204   0.00000E+00  SI 39
  205   0.00000E+00  SI 40
  206   0.00000E+00  SI 41
  207   0.00000E+00  SI 42
  208   0.00000E+00  SI 43
  209   0.00000E+00  SI 44
  210   0.00000E+00  SI 45
  211   0.00000E+00  SI 46
  212   0.00000E+00  SI 47
  213   0.00000E+00  SI 48
  214   0.00000E+00  SI 49
  215   0.00000E+00  SI 50
  216   0.00000E+00  SI 51
  217   0.00000E+00  SI 52
  218   0.00000E+00  SI 53
  219   0.00000E+00  SI 54
  220   0.00000E+00  P  23
  221   0.00000E+00  P  24
  222   0.00000E+00  P  25
  223   0.00000E+00  P  26
  224   0.00000E+00  P  27
  225   0.00000E+00  P  28
  226   0.00000E+00  P  32
  227   0.00000E+00  P  33
  228   0.00000E+00  P  34
  229   0.00000E+00  P  35
  230   0.00000E+00  P  36
  231   0.00000E+00  P  37
  232   0.00000E+00  P  38
  233   0.00000E+00  P  39
  234   0.00000E+00  P  40
  235   0.00000E+00  P  41
  236   0.00000E+00  P  42
  237   0.00000E+00  P  43
  238   0.00000E+00  P  44
  239   0.00000E+00  P  45
  240   0.00000E+00  P  46
  241   0.00000E+00  P  47
  242   0.00000E+00  P  48
  243   0.00000E+00  P  49
  244   0.00000E+00  P  50
  245   0.00000E+00  P  51
  246   0.00000E+00  P  52
  247   0.00000E+00  P  53
  248   0.00000E+00  P  54
  249   0.00000E+00  P  55
  250   0.00000E+00  P  56
  251   0.00000E+00  P  57
  252   0.00000E+00  S  25
  253   0.00000E+00  S  26
  254   0.00000E+00  S  27
  255   0.00000E+00  S  28
  256   0.00000E+00  S  29
  257   0.00000E+00  S  30
  258   0.00000E+00  S  32
  259   0.00000E+00  S  33
  260   0.00000E+00  S  34
  261   0.00000E+00  S  35
  262   0.00000E+00  S  36
  263   0.00000E+00  S  37
  264   0.00000E+00  S  38
  265   0.00000E+00  S  39
  266   0.00000E+00  S  40
  267   0.00000E+00  S  41
  268   0.00000E+00  S  42
  269   0.00000E+00  S  43
  270   0.00000E+00  S  44
  271   0.00000E+00  S  45
  272   0.00000E+00  S  46
  273   0.00000E+00  S  47
  274   0.00000E+00  S  48
  275   0.00000E+00  S  49
  276   0.00000E+00  S  50
  277   0.00000E+00  S  51
  278   0.00000E+00  S  52
  279   0.00000E+00  S  53
  280   0.00000E+00  S  54
  281   0.00000E+00  S  55
  282   0.00000E+00  S  56
  283   0.00000E+00  S  57
  284   0.00000E+00  S  58
  285   0.00000E+00  S  59
  286   0.00000E+00  S  60
  287   0.00000E+00  CL 26
  288   0.00000E+00  CL 27
  289   0.00000E+00  CL 28
  290   0.00000E+00  CL 29
  291   0.00000E+00  CL 30
  292   0.00000E+00  CL 31
  293   0.00000E+00  CL 32
  294   0.00000E+00  CL 33
  295   0.00000E+00  CL 34
  296   0.00000E+00  CL 35
  297   0.00000E+00  CL 36
  298   0.00000E+00  CL 37
  299   0.00000E+00  CL 38
  300   0.00000E+00  CL 39
  301   0.00000E+00  CL 40
  302   0.00000E+00  CL 41
  303   0.00000E+00  CL 42
  304   0.00000E+00  CL 43
  305   0.00000E+00  CL 44
  306   0.00000E+00  CL 45
  307   0.00000E+00  CL 46
  308   0.00000E+00  CL 47
  309   0.00000E+00  CL 48
  310   0.00000E+00  CL 49
  311   0.00000E+00  CL 50
  312   0.00000E+00  CL 51
  313   0.00000E+00  CL 52
  314   0.00000E+00  CL 53
  315   0.00000E+00  CL 54
  316   0.00000E+00  CL 55
  317   0.00000E+00  CL 56
  318   0.00000E+00  CL 57
  319   0.00000E+00  CL 58
  320   0.00000E+00  CL 59
